slug,error,,,,,,,,
michelleprescott,,person,team,michelle.prescott,team,,,,
olivia-burman,,person,team,Olivia Burman,,,,,
davetaz,Learning,person,team,David Tarrant,,,,,
open-data-in-a-day-24-march-20155,Can't process open-data-in-a-day-24-march-20155 (Missing slug open-data-in-a-day-24-march-20155),courses,learning,,,,,,
timorgan,,person,team,tim.organ,,,,,
francine-bennett,,person,start-ups,Francine Bennett,,,,,
heather-savory,,person,writers,Heather Savory,,,,,
go-hit-it,,person,writers,Go-Hit-It-Off,,,,,
dunraven-school,,person,writers,Dunraven School,,,,,
alex-coley,,person,writers,Alex Coley,,,,,
students-st-martins,,person,writers,Students St Martins,,,,,
vasanth-subramanian,,person,writers,Vasanth Subramanian,,,,,
jonathan-raper,,person,start-ups,Jonathan Raper,,,,,
sarah-hitchcock,,person,writers,Sarah Hitchcock,,,,,
david-rhind-and-hugh-neffendorf,,person,writers,David Rhind and Hugh Neffendorf,,,,,
marcus-bointon,,person,writers,Marcus Bointon,,,,,
peter-west,,person,writers,Peter West,,,,,
mike-warren,,person,writers,Mike Warren,,,,,
steve-peters,,person,writers,Steve Peters,,,,,
open-data-so-what,,Course,learning,,,,,,
julie-freeman,,person,team,Julie Freeman,,,,,
blair-freebairn,,person,writers,Blair Freebairn,,,,,
harry-wood,,person,start-ups,Harry Wood,,,,,
andrew-fogg,,person,writers,Andrew Fogg,,,,,
dermot-joyce,,person,writers,Dermot Joyce,,,,,
nick-katz,,person,start-ups,Nick Katz,,,,,
charlotta-buxton,,person,writers,Charlotta Buxton,,,,,
jay-myers,,person,writers,Jay Myers,,,,,
yodit-stanton,,person,start-ups,Yodit Stanton,,,,,
iain-gray,,person,writers,Iain Gray,,,,,
helen-desmond,,person,Helen Desmond,,,,,,
mark-goodhead,,person,writers,Mark Goodhead,,,,,
nate-nash,,person,writers,Nate Nash,,,,,
simon-whitehouse,Can't save simon-whitehouse (Validation failed - Person tag must be specified.),person,Nesta,Simon Whitehouse,,,,,
dominic-cheetham,,person,writers,Dominic Cheetham,,,,,
tim-perry,,person,writers,Tim Perry,,,,,
anneza-pitsialis,,person,team,Anneza Pitsialis,,,,,
ben-worthy,,person,writers,Ben Worthy,,,,,
briony-phillips,,person,team,Briony Phillips,,,,,
keitha-booth,,person,writers,Keitha Booth,,,,,
catherine-king,,person,writers,Catherine King,,,,,
brian-hoadley,,person,writers,Brian Hoadley,,,,,
bea-schofield,,person,writers,Bea Schofield,,,,,
hugo-pinto,,person,writers,Hugo Pinto,,,,,
rand-hindi,,person,writers,Rand Hindi,,,,,
odi,Can't save odi (Validation failed - Team artefacts must have a team specified.),person,Open Data Institute,,,,,,
roland-harwood,,person,writers,Roland Harwood,,,,,
fred-saunderson,Can't save fred-saunderson (Validation failed - Team artefacts must have a team specified.),person,Fred Saunderson,,,,,,
sam-michel,Associate,person,team,Sam Michel,,,,,
matthew-sykes,,person,writers,Matthew Sykes,,,,,
nigel-shadbolt,,person,team,Sir Nigel Shadbolt,,,,,
timbl,,person,team,Sir Tim Berners-Lee,,,,,
objectives,Can't save objectives (Validation failed - Article tag must be specified.),odi,objectives,,,,,,
start-up-phase,Can't save start-up-phase (Validation failed - Article tag must be specified.),odi,start-ups,,,,,,
gavin-starks,,person,team,Gavin Starks,,,,,
stuart-coleman,,person,team,Stuart Coleman,,,,,
kathryn-corrick,,person,team,Kathryn Corrick,,,,,
michelle-prescott,,person,team,Michelle Prescott,,,,,
rob-bryan,,person,team,Rob Bryan,,,,,
louise-burke,,person,team,Louise Burke,,,,,
dr-david-tarrant,,person,team,Evil Dave,,,,,
jade-croucher,,person,team,Jade Croucher,,,,,
emma-thwaites,,person,team,Emma Thwaites,,,,,
tim-organ,,person,team,Tim Organ,,,,,
roger-hampson,,person,team,Roger Hampson,,,,,
sam-pikesley,,person,team,Sam Pikesley,,,,,
tom-heath,,person,team,Tom Heath,,,,,
james-smith,,person,team,James Smith,,,,,
stuart-harrison,,person,team,Stuart Harrison,,,,,
ulrich-atz,,person,team,Ulrich Atz,,,,,
phil-lang,,person,team,Phil Lang,,,,,
semiconductor,,person,writers,Semiconductor,,,,,
ben-garrod,,person,writers,Ben Garrod,,,,,
benedikt-gro-bertrand-clerc,,person,writers,Benedikt GroÃ & Bertrand Clerc,,,,,
ellie-harrison,,person,writers,Ellie Harrison,,,,,
fabio-lattanzi-antinori,,person,writers,Fabio Lattanzi Antinori,,,,,
la-soci-t-anonyme,,person,writers,La SociÃ©tÃ© Anonyme,,,,,
martin-john-callanan,,person,writers,Martin John Callanan,,,,,
phil-archer,,person,writers,Phil Archer,,,,,
stanza,,person,writers,Stanza,,,,,
20hz-2011,,data as culture,art,,,,,,
